competitor_name,product_title,platform,price,file_types,preview_style,tags,review_count,avg_rating,strengths,weaknesses,license,notes
"Generic Bundle Seller","50,000+ Canva Template Mega Bundle","Etsy","$1-$3","Canva link, PNG","multiple previews, thumbnails","canva,templates,bundle,plr","n/a","n/a","Very low price, high variety","Quality varies widely, PLR concerns","varies","Example of high-volume low-price bundle listings"
"TopCarouselStore","700+ Instagram Carousel Templates","Etsy","$6","Canva link, PNG","carousel mockups","instagram,carousel,canva,editable","n/a","n/a","Large number of ready-to-post carousels","May require Canva Pro for some features","commercial (check listing)","Popular format for creators and agencies"
"RealEstatePostsCo","550+ Real Estate Social Media Posts","Etsy","$12-$20","Canva link, PSD","property mockups, client captions","real estate,instagram,marketing,canva","n/a","n/a","Niche product with targeted audience","Less appeal outside niche","commercial","High value for real estate agents"
"PlannerWorks","Content Planner Social Media Calendar","Etsy","$8-$12","Google Sheets, PDF","spreadsheet previews, calendar mockups","content calendar,planner,google sheets","n/a","n/a","Helps creators plan and schedule posts","May need customization for different markets","personal/commercial","Often sold with bundle discounts"
"HealthSocials","Therapist Instagram Templates","Etsy","$9-$20","Canva link, PNG","calm aesthetic mockups","mental health,canva,instagram,therapy","n/a","n/a","Targeted niche with strong buyer intent","Smaller audience vs general templates","commercial","Good reviews when tailored to niche"
"MomReelsPack","Motherhood Reels Bundle (faceless)","Etsy","$2-$6","Canva link, MP4","reel demo videos, phone mockups","momlife,canva,reels,faceless","n/a","n/a","Trendy niche, easy to adapt","Low price, lower margin","commercial","Popular among mum influencers"
"SportsSocials","Softball Team Social Media Templates","Etsy","$25-$35","Canva link, PNG","team roster mockups, game day templates","sports,softball,team,canva","n/a","n/a","High customization for teams","Very niche market","commercial","Sold as premium pack for teams/clubs"
"ProResumeKit","Resume + LinkedIn Banner Kit","Etsy/Canva","$12-$20","DOCX,PDF,Canva link","before/after resume mockups, LinkedIn header preview","resume,linkedin,personal brand,cv","n/a","n/a","High perceived professional value","Requires personalization per customer","commercial","Works well for freelance gigs on Fastwork"
"PhotoEditsCo","Lightroom Mobile Presets - Food & Travel Pack","Etsy","$8-$15",".xmp,.dng,PDF guide","before_after_photos","lightroom,presets,food,travel,instagram","n/a","n/a","High margin, easy delivery","Requires clear previews and compatibility notes","commercial","Preset packs sell well with influencer audience"
"MegaCanvaShop","Canva Templates Mega Bundle (various)","Etsy","$1-$5","Canva link, PNG, PDF","assorted thumbnails, mockups","canva,templates,editable,bundle","n/a","n/a","Huge selection appeals to bargain buyers","Quality inconsistent, potential licensing issues","varies","Common listing strategy: volume over per-item quality"
